year	code	ratio
2007	AO	36.6
2008	BF	46.7
2005	BI	66.9
2010	BJ	36.2
2008	BW	19.3
2011	CD	63.6
2010	CG	46.5
2007	CI	42.7
2006	CM	39.9
2007	CR	62
2006	CV	26.6
2010	EG	25.2
2009	ET	29.6
2004	GA	32.7
2011	GH	24.2
2009	GM	48.4
2011	GN	55.2
2005	GQ	76.8
2009	GW	69.3
2004	KE	45.9
2006	LR	63.8
2009	LS	57.1
2009	MG	75.3
2009	ML	43.6
2007	MR	42
2009	MW	50.7
2008	MZ	54.7
2008	NA	28.7
2010	NE	48.9
2009	NG	46
2010	RW	44.9
2005	SC	37.8
2008	SD	46.5
2010	SL	52.9
2010	SN	46.7
2008	SS	50.6
2008	ST	61.7
2008	SZ	63
2010	TD	46.7
2010	TG	58.7
2009	TN	15.5
2011	TZ	28.2
2011	UG	19.5
2010	ZA	53.8
2010	ZM	60.5
2011	ZW	72.3