Country	EGNIF2013	EGNIM2013
Angola	5,080	7,587
Cameroon	2,062	3,052
Chad	1,289	1,953
Congo	4,222	5,597
DRC	390	499
Equatorial Guinea	17,769	25,977
Gabon	14,003	19,919
Sao Tome and Principe	2,001	4,248
Burundi	685	815
Comoros	798	2,201
Djibouti	1,907	4,300
Eritrea	986	1,309
Ethiopia	1,090	1,515
Kenya	1,763	2,554
Madagascar	1,102	1,566
Malawi	652	777
Mauritius	10,980	22,726
Mozambique	939	1,086
Rwanda	1,263	1,550
Sudan	1,692	5,153
Tanzania (United Republic of)	1,501	1,903
Uganda	1,167	1,502
Zambia	2,344	3,455
Zimbabwe	1,124	1,496
Algeria	3,695	21,219
Egypt	4,225	16,522
Libya	10,649	32,678
Morocco	3,215	10,692
Tunisia	4,751	16,226
Botswana	11,491	18,054
Lesotho	2,217	3,395
Namibia	7,288	11,196
South Africa	8,539	15,233
Swaziland	3,738	7,384
Benin	1,455	1,999
Burkina Faso	1,335	1,871
Cape Verde	4,266	8,480
C̫te d'Ivoire	1,866	3,648
Gambia	1,309	1,811
Ghana	2,937	4,138
Guinea	913	1,370
Guinea-Bissau	907	1,275
Liberia	634	868
Mali	914	2,076
Mauritania	1,362	4,592
Niger	471	1,268
Nigeria	4,068	6,594
Senegal	1,642	2,717
Sierra Leone	1,617	2,016
Togo	998	1,263
